time_s,alt_left_m,alt_right_m,alt_lightware_m
1779965963.5371094,1.2890092134475708,1.205265760421753,
1779965963.5693328,1.3002262115478516,1.1967377662658691,
1779965963.6015496,1.312365174293518,0.30921053886413574,
1779965963.6339488,1.3172054290771484,1.1766854524612427,
1779965963.6650307,1.299688458442688,1.1687719821929932,1.27
1779965963.6973462,1.2942335605621338,1.1601672172546387,1.23
1779965963.7290514,1.2798665761947632,1.1411904096603394,
1779965963.7609947,1.2598910331726074,1.1351977586746216,1.22
1779965963.7930048,1.2282376289367676,1.118295431137085,
1779965963.82505,1.2148693799972534,1.0741188526153564,
1779965963.857016,1.1793744564056396,1.0577542781829834,
1779965963.888965,1.1401149034500122,1.0486116409301758,
1779965963.921817,1.1202930212020874,1.0369336605072021,
1779965963.9533415,1.0874871015548706,0.3094410300254822,
1779965963.984932,1.042465329170227,1.0114264488220215,
1779965964.0173314,0.9997484683990479,0.9943704605102539,1.07
1779965964.0490916,0.9162355065345764,0.3067519962787628,1.04
1779965964.080912,0.8751320242881775,0.9545730948448181,1.08
1779965964.1129465,0.8327993154525757,0.9461987614631653,1.11
1779965964.1449254,0.7957677841186523,0.9597206115722656,1.0
1779965964.1769803,0.7644984722137451,0.9541121125221252,1.03
1779965964.208989,0.7361485958099365,0.9430487751960754,0.99
1779965964.2412403,0.7228571772575378,0.305599570274353,
1779965964.2730718,0.695275604724884,0.9583377242088318,
1779965964.305205,0.6863634586334229,0.9584913849830627,
1779965964.3370044,0.6863634586334229,0.31028613448143005,
1779965964.3688824,0.736379086971283,0.3079812824726105,
1779965964.4009302,0.7213974595069885,0.31067028641700745,
1779965964.4331727,0.7452144026756287,0.3112080693244934,
1779965964.4648533,0.0,0.3053690791130066,
1779965964.4808004,0.8551565408706665,0.3053690791130066,
1779965964.5130763,0.8590748310089111,0.9762388467788696,
1779965964.54487,0.8997172713279724,0.307904452085495,0.9
1779965964.576832,0.7854727506637573,0.9443548917770386,1.06
1779965964.6087599,0.8432480692863464,0.9894534349441528,
1779965964.6407676,0.8175103664398193,1.0108118057250977,
1779965964.6727376,0.8235030174255371,0.9079379439353943,
1779965964.7051399,0.9127013683319092,1.0013618469238281,
1779965964.7371724,0.9368256330490112,1.0110423564910889,
1779965964.7687454,1.1034674644470215,1.0514543056488037,
1779965964.8016572,1.1920511722564697,1.1419587135314941,
1779965964.8332334,1.27302885055542,1.178452491760254,
1779965964.8647664,1.3237358331680298,1.159091591835022,
1779965964.8966866,1.2913141250610352,1.1826012134552002,1.45
1779965964.9294927,1.3760563135147095,0.30951786041259766,1.45
1779965964.9606705,1.4024085998535156,1.364608883857727,
1779965964.9927294,1.4233061075210571,1.4300670623779297,
1779965965.0247803,1.4546523094177246,1.4184658527374268,
1779965965.057107,1.4816960096359253,1.491837501525879,
1779965965.0886102,1.5506116151809692,0.0,
1779965965.120702,1.5774248838424683,1.504360556602478,
1779965965.152649,1.5432360172271729,1.64272940158844,
1779965965.1846905,1.5678980350494385,1.5753504037857056,
1779965965.217543,1.57765531539917,1.572584629058838,
1779965965.2487092,1.6164538860321045,1.591330885887146,
1779965965.2805529,1.6049295663833618,1.6210635900497437,1.63
