time_s,photo_err,valid_frac,latency_ms
84.652,12.8101,0.2476,41.37
84.891,12.4184,0.2656,41.10
85.154,12.0069,0.2791,40.24
85.452,12.7622,0.2515,45.85
85.740,13.5213,0.2179,40.75
86.030,13.2287,0.2052,43.83
86.326,14.1272,0.2169,40.55
86.544,13.9727,0.2211,54.28
86.649,14.0036,0.2271,46.67
86.844,13.7475,0.2315,75.29
86.964,13.3331,0.2372,50.19
87.128,14.2440,0.2379,80.79
87.241,13.4626,0.2402,47.61
87.367,13.4769,0.2437,47.02
87.550,13.0212,0.2449,48.25
87.662,13.3255,0.2466,43.36
87.950,13.0628,0.2423,42.10
88.235,13.3295,0.2269,40.79
88.533,13.8085,0.2061,43.65
88.854,13.1966,0.2054,39.16
89.036,13.3064,0.2106,63.54
89.150,12.7751,0.2243,42.67
89.276,13.1481,0.2289,41.59
89.459,12.9142,0.2418,46.11
89.578,12.9529,0.2502,52.08
89.722,12.4416,0.2656,39.75
