time_s,photo_err,valid_frac,latency_ms
84.174,15.5834,0.3551,37.61
84.510,15.3121,0.3715,37.10
84.742,15.3507,0.3684,36.75
84.980,13.8158,0.3958,37.29
85.264,13.0371,0.3766,36.58
85.556,14.5390,0.3210,36.45
85.855,16.4418,0.3054,38.22
86.151,16.8583,0.3279,37.02
86.355,16.9689,0.3234,38.52
86.456,16.5951,0.3366,37.42
86.632,15.9456,0.3580,40.24
86.743,15.3900,0.3547,36.53
86.889,15.2488,0.3727,36.59
87.089,14.6437,0.3848,39.01
87.194,14.6986,0.3369,36.50
87.365,14.6459,0.3839,40.68
87.487,14.6245,0.3886,36.96
87.759,13.4598,0.3181,36.29
88.052,15.2607,0.3580,36.42
88.361,16.4336,0.3183,37.52
88.655,17.2652,0.2952,38.44
88.846,17.4449,0.3231,39.22
88.957,17.6454,0.3334,37.28
89.106,17.5733,0.3220,37.67
89.305,15.4610,0.3712,38.14
89.413,15.5978,0.3707,37.26
89.594,15.3233,0.4082,39.51
89.698,14.9917,0.3898,37.79
89.841,14.9289,0.3772,38.49
